id;name;brewery;percentage
0;Chimay Gold: 'Doree';Chimay Brewery (official trappist);4.8
1;Chimay Blue: 'Grande Reserve';Chimay Brewery (official trappist);9.0
2;Chimay Red: 'Premiere';Chimay Brewery (official trappist);7.0
3;Chimay White: 'Cinq Cents Tripel';Chimay Brewery (official trappist);8.0
4;Ciney Blonde;Alken-Maes (part of Heineken and Carlsberg);7.0
5;Ciney Brune;Alken-Maes (part of Heineken and Carlsberg);7.0
6;Grimbergen;Alken-Maes (part of Heineken and Carlsberg);6.7
7;Cuvée des Trolls;Dubuisson Brewery;7.0
8;Delirium de Noel (Christmas beer);Huyghe Brewery;10.0
9;Delirium Nocturnum;Huyghe Brewery;8.5
10;Delirium Tremens;Huyghe Brewery;9.0
11;DeuS Brut des Flandres;Bosteels Brewery (part of InBev);11.5
12;Pauwel Kwak;Bosteels Brewery (part of InBev);8.4
13;Tripel Karmeliet;Bosteels Brewery (part of InBev);8.4
14;Duchesse de Bourgogne;Verhaeghe Brewery;6.2
15;Duvel;Duvel Moortgat;8.5
16;Duvel Single Fermented;Duvel Moortgat;6.8
17;Maredsous Blonde;Duvel Moortgat;6.0
18;Maredsous Brune;Duvel Moortgat;8.0
19;Maredsous Tripel;Duvel Moortgat;10.0
20;Framboise Boon;Boon Brewery;5.0
21;Kriek Boon;Boon Brewery;4.0
22;Gulden Draak;Brouwerij Van Steenberge;10.5
23;Hoegaarden;Hoegaarden Brewery;4.9
24;Jupiler;Brewery Piedbœuf (part of InBev);5.2
25;Leffe Blonde;Interbrew (part of InBev);6.6
26;Leffe Bruin;Interbrew (part of InBev);6.5
27;Stella Artois;Interbrew (part of InBev);5.2
28;Lindemans Framboise;Lindemans Brewery;2.5
29;Lindemans Kriek;Lindemans Brewery;4.0
30;Lindemans Pêcheresse;Lindemans Brewery;2.5
31;Mouten Kop;Brewery De Graal;6.0
32;Rodenbach Original;Palm Breweries;5.2
33;Rodenbach Grand Cru;Palm Breweries;6.2
34;Rodenbach Vintage;Palm Breweries;7.0
35;Rodenbach Caractère Rouge;Palm Breweries;7.0
36;St. Bernardus Abt 12;St. Bernardus Brewery;10.0
37;St. Bernardus Prior 8;St. Bernardus Brewery;8.0
38;St. Bernardus Tripel;St. Bernardus Brewery;8.0
39;Trappistes Rochefort 6;Rochefort Abbey (official trappist);7.5
40;Trappistes Rochefort 8;Rochefort Abbey (official trappist);9.2
41;Trappistes Rochefort 10;Rochefort Abbey (official trappist);11.3



















































































